ID,transaction_id,Category_Code,Unit_Code,Project_Code,transaction_date,customer_id
1107,1000001956,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1108,1000001958,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1109,1000001963,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1110,1000001963,Crab & Crack,BU-fca786ffced3,,2026-04-22,2
1111,1000001964,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1112,1000001961,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1113,1000001961,Crab & Crack,BU-fca786ffced3,,2026-04-22,2
1114,1000001961,Crab & Crack,BU-fca786ffced3,,2026-04-22,3
1115,1000001961,Crab & Crack,BU-fca786ffced3,,2026-04-22,4
1116,1000001961,Crab & Crack,BU-fca786ffced3,,2026-04-22,5
1117,1000001961,Crab & Crack,BU-fca786ffced3,,2026-04-22,6
1118,1000001975,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1119,1000001968,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1120,1000001972,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1121,1000001972,Crab & Crack,BU-fca786ffced3,,2026-04-22,2
1122,1000001973,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1123,1000001973,Crab & Crack,BU-fca786ffced3,,2026-04-22,2
1124,1000001974,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1125,1000001978,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1126,1000001982,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1127,1000001986,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1128,1000001992,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1129,1000001995,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1130,1000001995,Crab & Crack,BU-fca786ffced3,,2026-04-22,2
1131,1000001996,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1132,1000001998,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1133,1000001998,Crab & Crack,BU-fca786ffced3,,2026-04-22,2
1134,1000001997,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1135,1000002007,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1136,1000002007,Crab & Crack,BU-fca786ffced3,,2026-04-22,2
1137,1000002007,Crab & Crack,BU-fca786ffced3,,2026-04-22,3
1138,1000002010,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1139,1000002010,Crab & Crack,BU-fca786ffced3,,2026-04-22,2
1140,1000002013,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1141,1000002013,Crab & Crack,BU-fca786ffced3,,2026-04-22,2
1142,1000002020,Crab & Crack,BU-fca786ffced3,,2026-04-22,1
1143,1000002020,Crab & Crack,BU-fca786ffced3,,2026-04-22,2
1144,1000002024,Crab & Crack,BU-fca786ffced3,,2026-04-23,1
1145,1000002024,Crab & Crack,BU-fca786ffced3,,2026-04-23,2
1146,1000002024,Crab & Crack,BU-fca786ffced3,,2026-04-23,3
1147,1000002024,Crab & Crack,BU-fca786ffced3,,2026-04-23,4
1148,1000002028,Crab & Crack,BU-fca786ffced3,,2026-04-23,1
1149,1000002028,Crab & Crack,BU-fca786ffced3,,2026-04-23,2
1150,1000002031,Crab & Crack,BU-fca786ffced3,,2026-04-23,1
1151,1000002031,Crab & Crack,BU-fca786ffced3,,2026-04-23,2
1152,1000002033,Crab & Crack,BU-fca786ffced3,,2026-04-23,1
1153,1000002038,Crab & Crack,BU-fca786ffced3,,2026-04-23,1
1154,1000002040,Crab & Crack,BU-fca786ffced3,,2026-04-23,1
1155,1000002035,Crab & Crack,BU-fca786ffced3,,2026-04-23,1
1156,1000002035,Crab & Crack,BU-fca786ffced3,,2026-04-23,2
1157,1000002035,Crab & Crack,BU-fca786ffced3,,2026-04-23,3
1158,1000002046,Crab & Crack,BU-fca786ffced3,,2026-04-23,1
1159,1000002046,Crab & Crack,BU-fca786ffced3,,2026-04-23,2
1160,1000002046,Crab & Crack,BU-fca786ffced3,,2026-04-23,3
1161,1000002046,Crab & Crack,BU-fca786ffced3,,2026-04-23,4
1162,1000002070,Crab & Crack,BU-fca786ffced3,,2026-04-23,1
1163,1000002071,Crab & Crack,BU-fca786ffced3,,2026-04-23,1
1164,1000002071,Crab & Crack,BU-fca786ffced3,,2026-04-23,2
1165,1000002063,Crab & Crack,BU-fca786ffced3,,2026-04-23,1
1166,1000002081,Crab & Crack,BU-fca786ffced3,,2026-04-23,1
1167,1000002081,Crab & Crack,BU-fca786ffced3,,2026-04-23,2
1168,1000002080,Crab & Crack,BU-fca786ffced3,,2026-04-23,1
1169,1000002094,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1170,1000002097,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1171,1000002099,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1172,1000002099,Crab & Crack,BU-fca786ffced3,,2026-04-24,2
1173,1000002099,Crab & Crack,BU-fca786ffced3,,2026-04-24,3
1174,1000002099,Crab & Crack,BU-fca786ffced3,,2026-04-24,4
1175,1000002099,Crab & Crack,BU-fca786ffced3,,2026-04-24,5
1176,1000002099,Crab & Crack,BU-fca786ffced3,,2026-04-24,6
1177,1000002099,Crab & Crack,BU-fca786ffced3,,2026-04-24,7
1178,1000002106,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1179,1000002106,Crab & Crack,BU-fca786ffced3,,2026-04-24,2
1180,1000002107,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1181,1000002107,Crab & Crack,BU-fca786ffced3,,2026-04-24,2
1182,1000002111,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1183,1000002111,Crab & Crack,BU-fca786ffced3,,2026-04-24,2
1184,1000002110,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1185,1000002110,Crab & Crack,BU-fca786ffced3,,2026-04-24,2
1186,1000002110,Crab & Crack,BU-fca786ffced3,,2026-04-24,3
1187,1000002118,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1188,1000002118,Crab & Crack,BU-fca786ffced3,,2026-04-24,2
1189,1000002114,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1190,1000002114,Crab & Crack,BU-fca786ffced3,,2026-04-24,2
1191,1000002114,Crab & Crack,BU-fca786ffced3,,2026-04-24,3
1192,1000002124,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1193,1000002127,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1194,1000002128,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1195,1000002128,Crab & Crack,BU-fca786ffced3,,2026-04-24,2
1196,1000002137,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1197,1000002134,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1198,1000002131,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1199,1000002131,Crab & Crack,BU-fca786ffced3,,2026-04-24,2
1200,1000002131,Crab & Crack,BU-fca786ffced3,,2026-04-24,3
1201,1000002131,Crab & Crack,BU-fca786ffced3,,2026-04-24,4
1202,1000002138,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1203,1000002138,Crab & Crack,BU-fca786ffced3,,2026-04-24,2
1204,1000002142,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1205,1000002141,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1206,1000002141,Crab & Crack,BU-fca786ffced3,,2026-04-24,2
1207,1000002140,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1208,1000002139,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1209,1000002133,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1210,1000002144,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
1211,1000002144,Crab & Crack,BU-fca786ffced3,,2026-04-24,2
1212,1000002144,Crab & Crack,BU-fca786ffced3,,2026-04-24,3
1213,1000002147,Crab & Crack,BU-fca786ffced3,,2026-04-24,1
