uuid,userid,roleclass,rolename,role_description,deletestatus,usertracker,createtime,payment_amount,payment_reference,payment_mode
RL-8512c82111fbd2bef4cc2fb7e99bb38c,202603625430,Route,/ims,/ims,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-88ec4c00385b56a60445e6d90a7293c3,202603625430,Function,ACCTG-DISBURSEMENT,ACCTG-DISBURSEMENT,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-89164d9df610791a5595ebcfe70d64d6,202603625430,Route,/inventorydashboard,/inventorydashboard,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-897ae2b54d7894894729923fc97acc9d,202603625430,Route,/inventoryaveragecosting,/inventoryaveragecosting,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-8994ee39642b8c8a62041b17129a5cb1,202603625430,Route,/renewalandplanupgrade,/renewalandplanupgrade,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-8c44e69b32eceafbac0880a1d1797c40,202603625430,Route,/package,/package,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-8c4714f20583bb4476fb408d7b27cde9,202603625430,Function,HRIS-TEAM LEADER,HRIS-TEAM LEADER,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-8c5162513d16edde9632ba0c267db27c,202603625430,Route,/pos,/pos,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-8e7173f8e1e4ad7767d5c0bac8d91ef5,202603625430,Function,IMS-PURCHASER,IMS-PURCHASER,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-8e9ff5639817078040927b174f32606a,202603625430,Route,/accountsummary/:id,/accountsummary/:id,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-8eeb43ed9e06f010438d73f81de9502d,202603625430,Route,/teammembers/:id,/teammembers/:id,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-8f4be68701101b82b797f2aceabce74e,202603625430,Route,/employeelocation,/employeelocation,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-9044ff5ee08e2a92b02a91ecaa333cad,202603625430,Route,/memberprofile/:id,/memberprofile/:id,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-914a2d48149487c284c6b865cce80454,202603625430,Route,/projectassignment,/projectassignment,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-91cdcd9511d61ca0283c6a5319dbfa4a,202603625430,Route,/productcategory,/productcategory,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-93a3df92fd3bc0f3a39702601cc0e47d,202603625430,Function,IMS-PO-APPROVER,IMS-PO-APPROVER,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-95c0d559d03899861d23af7c4b36c06b,202603625430,Function,IMS-PRODUCTION OFFICER,IMS-PRODUCTION OFFICER,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-98ab82e02e0e60a8e3301a3c77760a41,202603625430,Route,/aboutus,/aboutus,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-9b934be36a1865c556ac0cbe70c9ba23,202603625430,Route,/fixedasset,/fixedasset,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-9d2ded8d6d93f78cd41081ff3816adf2,202603625430,Route,/reportprofitandloss,/reportprofitandloss,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-a037a1928a0465ac2b1fa96e92e9ec7b,202603625430,Route,/teamsprofile,/teamsprofile,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-a2b1a78984743b5beb11ed738aa23d91,202603625430,Route,/salestracker,/salestracker,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-a92d2fe3e636534520bc1b084316f6b0,202603625430,Route,/salesqueue,/salesqueue,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-aaf63d575135349b3ff932aa2224eb64,202603625430,Route,/employeeinfo,/employeeinfo,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-ac23be94e242206b0d5b5161163f8f8e,202603625430,Function,IMS-DRIVER,IMS-DRIVER,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
RL-ac76712644541c9bdbeaa94c80c06c6c,202603625430,Route,/tutorials,/tutorials,Active,PUBLIC_SIGNUP,0000-00-00 00:00:00,0.00,,
