role_id,permission_id,can_access,created_at,updated_at
2,2,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,3,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,4,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,5,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,6,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,7,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,8,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,9,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,10,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,11,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,12,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,13,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,14,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,15,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,16,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,17,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,18,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,19,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,20,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,21,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,22,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,23,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,24,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,25,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,26,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,27,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,28,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,29,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,30,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,31,0,2026-08-09 00:00:00,2026-08-09 00:00:00
2,32,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,33,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,34,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,35,0,2026-08-09 00:00:00,2026-08-09 00:00:00
2,36,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,37,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,38,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,39,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,40,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,41,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,42,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,43,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,44,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,45,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,46,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,47,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,48,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,49,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,50,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,51,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,52,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,53,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,54,1,2026-08-09 00:00:00,2026-08-09 00:00:00
2,55,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,1,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,2,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,3,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,4,0,2026-08-09 00:00:00,2026-08-09 00:00:00
3,5,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,6,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,7,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,8,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,9,1,2026-08-09 00:00:00,2026-08-09 00:00:00
3,10,1,2026-08-09 00:00:00,2026-08-09 00:00:00
